================================================================================
  РС-31-2017/8  —  F1=67%  (Run 7)
================================================================================

01:38:21 [INFO] File  : РС-31-2017/8/Image_00112032025082646183.pdf
01:38:21 [INFO] Truth boundaries : [1, 2, 3, 4]
01:38:21 [INFO] Truth rotations  : {}
01:38:21 [INFO]   Phase 1: end-of-document detection (11 pages)…
01:38:31 [INFO]   Checking page 1 (context: [1, 2])
01:38:35 [INFO]   Reason: The labeled fields 'Проектант' with a handwritten signature and other sign-off fields indicate the completion of a project document.
01:38:35 [INFO]   p1: end=True, signal=project_signoff, signal_on_page=1, conf=90%
01:38:40 [INFO]   Next-page-start reason: The next page has a new heading 'УДОСТОВЕРЕНИЕ' and a different document structure indicating a new document.
01:38:40 [INFO]   Signature on p1 confirmed as end — next page starts new doc (conf=99%) [next_page_heading='УДОСТОВЕРЕНИЕ']
01:38:44 [INFO]   [ID-CONTINUITY log-only] p1='обектжилищнасградавупи265657' p2='01465' same=False
01:38:44 [INFO]   End at page 1 → doc starts at page 2 (conf=99%, signal=project_signoff)
01:38:52 [INFO]   Checking page 2 (context: [1, 2, 3])
01:38:57 [INFO]   Reason: The next page starts with a different company logo and header block, indicating a new document.
01:38:57 [INFO]   p2: end=True, signal=fresh_letterhead, signal_on_page=2, conf=90%
01:38:57 [INFO]   End at page 1 → doc starts at page 2 (conf=88%, signal=fresh_letterhead)
01:39:05 [INFO]   Checking page 3 (context: [2, 3, 4])
01:39:11 [INFO]   Reason: No clear end or start signals detected on page 3; content appears continuous.
01:39:11 [INFO]   p3: end=False, signal=none, signal_on_page=3, conf=50%
01:39:14 [INFO]   [START-FALLBACK] p3 starts_with_header=True (conf=95%): The very top of the page contains a clear document header including a logo, company name 'Армеец', and a policy number, indicating the start of a new document.
01:39:14 [INFO]   [START-FALLBACK] p3 new_doc=True — header detected, queuing confirmation
01:39:17 [INFO]   Low-conf boundary at p3 (65%) rejected by confirmation pass
01:39:24 [INFO]   Checking page 4 (context: [3, 4, 5])
01:39:29 [INFO]   Reason: No clear end or start signals detected; content appears continuous.
01:39:29 [INFO]   p4: end=False, signal=none, signal_on_page=4, conf=50%
01:39:37 [INFO]   Checking page 5 (context: [4, 5, 6])
01:39:42 [INFO]   Reason: No clear end or start signals detected; content appears continuous.
01:39:42 [INFO]   p5: end=False, signal=none, signal_on_page=5, conf=0%
01:39:45 [INFO]   [START-FALLBACK] p5 starts_with_header=False (conf=95%): The page begins with mid-content text, specifically continuing a paragraph and listing details about the building's structure and features.
01:39:52 [INFO]   Checking page 6 (context: [5, 6, 7])
01:39:57 [INFO]   Reason: No clear end or start signals detected across the provided pages.
01:39:57 [INFO]   p6: end=False, signal=none, signal_on_page=6, conf=0%
01:40:05 [INFO]   Checking page 7 (context: [6, 7, 8])
01:40:10 [INFO]   Reason: No clear end or start signals detected; content appears continuous.
01:40:10 [INFO]   p7: end=False, signal=none, signal_on_page=7, conf=0%
01:40:17 [INFO]   Checking page 8 (context: [7, 8, 9])
01:40:22 [INFO]   Reason: No clear end or start signals detected; content appears continuous.
01:40:22 [INFO]   p8: end=False, signal=none, signal_on_page=8, conf=0%
01:40:30 [INFO]   Checking page 9 (context: [8, 9, 10])
01:40:36 [INFO]   Reason: No clear end or start signals detected across the provided pages.
01:40:36 [INFO]   p9: end=False, signal=none, signal_on_page=9, conf=0%
01:40:43 [INFO]   Checking page 10 (context: [9, 10, 11])
01:40:49 [INFO]   Reason: The labeled approval grid with 'Изготвил' and a handwritten signature is present.
01:40:49 [INFO]   p10: end=True, signal=signature_block, signal_on_page=11, conf=90%
01:40:49 [INFO]   Signal 'signature_block' is on p11, not p10 — adjusting boundary: doc ends at p11, next doc starts at p12
01:40:52 [INFO]   [ONE-PAGE-CHECK] p11 self_contained=False (conf=95%): The page begins mid-content without a new header or document title at the very top.
01:40:52 [INFO]   [OOB-PROJECTION] new_start=12 > total_pages=11 — re-evaluating
01:40:54 [INFO]   [ONE-PAGE-CHECK] p11 self_contained=False (conf=95%): The page begins mid-content without a new header or document title at the very top.
01:40:54 [INFO]   [OOB-PROJECTION] p11 is continuation — no boundary recorded, new doc beyond PDF
01:40:54 [INFO]   End at page 11 → doc starts at page 12 (conf=85%, signal=signature_block)
01:40:54 [INFO]   Phase 1 done — document start pages: [1, 2]
01:40:54 [INFO]   Skipping Phase 2 classification (classify=False)
01:40:54 [INFO]   Boundaries: [(1, 0, ''), (2, 0, '')]
01:40:54 [INFO] Pred  boundaries : [1, 2]
01:40:54 [INFO] Pred  rotations  : {}
01:40:54 [INFO] Boundaries — TP=2 FP=0 FN=2 | P=100% R=50% F1=67%
01:40:54 [INFO]   ✗ Missed splits at  : [3, 4]
01:40:54 [INFO] Rotations  — TP=0 FP=0 FN=0 | P=0% R=0% F1=0%
01:40:55 [INFO] ============================================================

================================================================================
  РС-31-2017/2  —  F1=73%  (Run 7)
================================================================================

00:56:13 [INFO] File  : РС-31-2017/2/Image_00112022025163444215.pdf
00:56:13 [INFO] Truth boundaries : [1, 3, 4, 5, 7, 8, 9, 12, 15, 22, 23, 24, 25, 26, 32, 34]
00:56:13 [INFO] Truth rotations  : {}
00:56:13 [INFO]   Phase 1: end-of-document detection (37 pages)…
00:56:23 [INFO]   Checking page 1 (context: [1, 2])
00:56:28 [INFO]   Reason: The labeled approval grid with 'Изготвил', 'Съгласувал', 'Одобрил' includes handwritten signatures and dates.
